name,category,address,description,website,profile_url
โรงพยาบาลสัตว์หมอปราโมท,โรงพยาบาลและคลินิกสัตวแพทย์,ตำบลท่าวัง อำเภอเมืองนครศรีธรรมราช จังหวัดนครศรีธรรมราช 80000,"โรงพยาบาลสัตว์หมอปราโมท นครศรีธรรมราช ตรวจรักษาโรคสัตว์เลี้ยง รักษาสุนัข รักษาแมว รักษาสัตว์พิเศษ กระต่าย หนู นก และสัตว์ป่า เช่น ไก่ป่า ลิง ชะนี เก้ง โดยสัตวแพทย์ปริญญา ให้คำแนะนำในการดูแลสัตว์ป่วยอย่างถูกวิธี




	ฉีดวัคซีนป้องกันโรคสัตว์ วัคซีนป้องกันพิษสุนัขบ้า
	ผ่าตัดทั่วไป ผ่าตัดเนื้องอกสุนัข",,https://www.yellowpages.co.th/profile/%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B8%9E%E0%B8%A2%E0%B8%B2%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B8%AA%E0%B8%B1%E0%B8%95%E0%B8%A7%E0%B9%8C%E0%B8%AB%E0%B8%A1%E0%B8%AD%E0%B8%9B%E0%B8%A3%E0%B8%B2%E0%B9%82%E0%B8%A1%E0%B8%97-93DZgOrS4
โรงพยาบาลสัตว์ สันกำแพง,โรงพยาบาลและคลินิกสัตวแพทย์,ตำบลต้นเปา อำเภอสันกำแพง จังหวัดเชียงใหม่ 50130,"บริการ 
- ตรวจรักษาอายุรกรรมสัตว์เลี้ยง อัลตร้าซาวด์ x-ray ผสมเทียม
- ศัลยกรรมผ่าตัด ทำหมัน ทำคลอด ผ่าตัดกระดูก ขูดหินปูน
- อาบน้ำ ตัดขน รับฝากดูแลสัตว์ป่วย สัตว์ปกติ บริการนอกสถานที่
- จำหน่ายอาหารสัตว์ อุปกรณ์สัตว์เลี้ยง
id line : skp_animalhospital",,https://www.yellowpages.co.th/profile/%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B8%9E%E0%B8%A2%E0%B8%B2%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B8%AA%E0%B8%B1%E0%B8%95%E0%B8%A7%E0%B9%8C-%E0%B8%AA%E0%B8%B1%E0%B8%99%E0%B8%81%E0%B8%B3%E0%B9%81%E0%B8%9E%E0%B8%87-93u42T7yz
โรงพยาบาลสัตว์ เอ็ม ซี,โรงพยาบาลและคลินิกสัตวแพทย์,ตำบลหมากแข้ง อำเภอเมืองอุดรธานี จังหวัดอุดรธานี 41000,โรงพยาบาลสัตว์ เอ็ม ซี รักษาสัตว์ทั้งสุนัข แมว และมีอาหารสุนัข แมว จำหน่าย,,https://www.yellowpages.co.th/profile/%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B8%9E%E0%B8%A2%E0%B8%B2%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B8%AA%E0%B8%B1%E0%B8%95%E0%B8%A7%E0%B9%8C-%E0%B9%80%E0%B8%AD%E0%B9%87%E0%B8%A1-%E0%B8%8B%E0%B8%B5-93SI8PZ0A
พริตตี้ เพ็ท คลีนิค (สัตวแพทย์),โรงพยาบาลและคลินิกสัตวแพทย์,ตำบลหาดใหญ่ อำเภอหาดใหญ่ จังหวัดสงขลา 90110,รักษาสัตว์ รับฉีดวัคซีน กำจัดเห็บหมัด ผ่าตัดเล็ก รักษาสัตว์พิเศษ (กระต่าย หนู ชูการ์ไกลเดอร์ นกสวยงาม กระรอก),,https://www.yellowpages.co.th/profile/%E0%B8%9E%E0%B8%A3%E0%B8%B4%E0%B8%95%E0%B8%95%E0%B8%B5%E0%B9%89-%E0%B9%80%E0%B8%9E%E0%B9%87%E0%B8%97-%E0%B8%84%E0%B8%A5%E0%B8%B5%E0%B8%99%E0%B8%B4%E0%B8%84-%E0%B8%AA%E0%B8%B1%E0%B8%95%E0%B8%A7%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C-93SFi7jyu
โรงพยาบาลสัตว์นภัคสิริ อ วังน้ำเขียว,โรงพยาบาลและคลินิกสัตวแพทย์,ตำบลวังน้ำเขียว อำเภอวังน้ำเขียว จังหวัดนครราชสีมา 30370,"รักษาสุนัข ,ฉีดยาเห็บ หมา แมว วังน้ำเขียวโรงแรมสัตว์ ติดแอร์ อาหารสัตว์ อาบน้ำ ตัดขน บริการรักษาสัตว์ ตรวจเลือด เอ็กซ์เรย์ และยังมีบริการโรงแรมสัตว์ บริการอาบน้ำ ตัดขน และจำหน่ายอาหารสัตว์ โรงพยาบาลสัตว์ รักษาสัตว์โคราช อาบน้ำตัดขน วังน้ำเขียว บริการโรงแรมสัตว์ โรงแรมสัตว์ติดแอร์ ศูนย์ราชการวังน้ำเข",,https://www.yellowpages.co.th/profile/%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B8%9E%E0%B8%A2%E0%B8%B2%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B8%AA%E0%B8%B1%E0%B8%95%E0%B8%A7%E0%B9%8C%E0%B8%99%E0%B8%A0%E0%B8%B1%E0%B8%84%E0%B8%AA%E0%B8%B4%E0%B8%A3%E0%B8%B4-%E0%B8%AD-%E0%B8%A7%E0%B8%B1%E0%B8%87%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B9%80%E0%B8%82%E0%B8%B5%E0%B8%A2%E0%B8%A7-92knnHLoQ
โรงพยาบาลสัตว์ เอ็ม ดี,โรงพยาบาลและคลินิกสัตวแพทย์,ตำบลในเมือง อำเภอเมืองนครราชสีมา จังหวัดนครราชสีมา 30000,อาหารและอุปกรณ์สัตว์เลี้ยง ตรวจรักษาโรค,,https://www.yellowpages.co.th/profile/%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B8%9E%E0%B8%A2%E0%B8%B2%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B8%AA%E0%B8%B1%E0%B8%95%E0%B8%A7%E0%B9%8C-%E0%B9%80%E0%B8%AD%E0%B9%87%E0%B8%A1-%E0%B8%94%E0%B8%B5-93OvwMHzC
โรงพยาบาลสัตว์เมตตากรณ์,โรงพยาบาลและคลินิกสัตวแพทย์,ตำบลท่าประดู่ อำเภอเมืองระยอง จังหวัดระยอง 21000,"โรงพยาบาลสัตว์ เมตตากรณ์ ระยอง : ให้บริการตรวจรักษา ฟื้นฟูสภาพสัตว์เลี้ยง สุนัข แมว และอื่นๆ ด้วยเครื่องมือตรวจที่ทันสมัย ในจังหวัด ระยอง ประกอบด้วยเครื่องเอ็กซเรย์ดิจิตอล x-ray digital, เครื่องอัลตราซาวด์ ultrasound, เครื่องอีซีจี ecg, ทราบผลเร็วและชัดเจน ตรวจเลือดวินิจฉัยโรคทางแล็บ lab

รักษาและผ่",,https://www.yellowpages.co.th/profile/%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B8%9E%E0%B8%A2%E0%B8%B2%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B8%AA%E0%B8%B1%E0%B8%95%E0%B8%A7%E0%B9%8C%E0%B9%80%E0%B8%A1%E0%B8%95%E0%B8%95%E0%B8%B2%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C-93sumUO1J
โรงพยาบาลสัตว์หนองแคน,โรงพยาบาลและคลินิกสัตวแพทย์,ตำบลในเมือง อำเภอเมืองร้อยเอ็ด จังหวัดร้อยเอ็ด 45000,โรงพยาบาลสัตว์หนองแคน รับรักษาสัตว์ รักษาโรคทั่วไป โรคผิวหนัง ฉีดวัคซีน ฉีดยาคุม ขี้เรื้อน ฉีดยากำจัดเห็บ หมัด ผ่าตัด ทำหมัน ผ่าคลอด ผ่ามดลูกอักเสบ เอ็กซ์เรย์ มีบริการอาบน้ำ ตัดขน รับฝากเลี้ยงสุนัข ตรวจเลือด ขูดหินปูน พร้อมกับจำหน่ายของใช้สัตว์เลี้ยง อุปกรณ์สำหรับสัตว์เลี้ยง,,https://www.yellowpages.co.th/profile/%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B8%9E%E0%B8%A2%E0%B8%B2%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B8%AA%E0%B8%B1%E0%B8%95%E0%B8%A7%E0%B9%8C%E0%B8%AB%E0%B8%99%E0%B8%AD%E0%B8%87%E0%B9%81%E0%B8%84%E0%B8%99-91Gx7JkEA
โรงพยาบาลสัตว์ ภาสุข,โรงพยาบาลและคลินิกสัตวแพทย์,ตำบลปรุใหญ่ อำเภอเมืองนครราชสีมา จังหวัดนครราชสีมา 30000,"คลีนิคโรคผิวหนัง, ผ่าตัดศัลยกรรม, ผ่าคลอด, ทำหมั่น, เอ็กซเรย์, ฝากเลี้ยง, ฝากรักษา, pet shop, อาการเฉพาะทาง, อาบน้ำ-ตัดขน, บริการนอกสถานที่ ฉีดวัคซีน, ยาฆ่าเห็บ, รักษาทั่วไป",,https://www.yellowpages.co.th/profile/%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B8%9E%E0%B8%A2%E0%B8%B2%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B8%AA%E0%B8%B1%E0%B8%95%E0%B8%A7%E0%B9%8C-%E0%B8%A0%E0%B8%B2%E0%B8%AA%E0%B8%B8%E0%B8%82-93OzQveLb
เพ็ท วี แคร์ แอนนิมอล คลินิก,โรงพยาบาลและคลินิกสัตวแพทย์,ตำบลนาดี อำเภอเมืองสมุทรสาคร จังหวัดสมุทรสาคร 74000,เพ็ทวีแคร์ แอนนิมอลคลินิก(petvcare animal clinic)ให้คำปรึกษา รักษาสัตว์ โดยสัตวแพทย์เกียรตินิยมจากจุฬาฯ สถานที่สะอาด มีที่จอดรถ เดินทางสะดวก เข้าได้ทั้งทางถนนพระราม 2 และถนนเอกชัย บริการตรวจสุขภาพ ทำวัคซีน ถ่ายพยาธิ สัตว์เลี้ยง ตรวจเลือดสุนัขและแมว ผ่าตัด ทำหมัน หมาและแมว ขูดหินปูน อัลตราซาวน์ กำจัด,,https://www.yellowpages.co.th/profile/%E0%B9%80%E0%B8%9E%E0%B9%87%E0%B8%97-%E0%B8%A7%E0%B8%B5-%E0%B9%81%E0%B8%84%E0%B8%A3%E0%B9%8C-%E0%B9%81%E0%B8%AD%E0%B8%99%E0%B8%99%E0%B8%B4%E0%B8%A1%E0%B8%AD%E0%B8%A5-%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81-93ZNwagRG
ปอม ปอม คลีนิค,โรงพยาบาลและคลินิกสัตวแพทย์,ตำบลนางรอง อำเภอนางรอง จังหวัดบุรีรัมย์ 31110,,,https://www.yellowpages.co.th/profile/%E0%B8%9B%E0%B8%AD%E0%B8%A1-%E0%B8%9B%E0%B8%AD%E0%B8%A1-%E0%B8%84%E0%B8%A5%E0%B8%B5%E0%B8%99%E0%B8%B4%E0%B8%84-92OeJBjKk
โรงพยาบาลสัตว์ศรีตรัง,โรงพยาบาลและคลินิกสัตวแพทย์,ตำบลทับเที่ยง อำเภอเมืองตรัง จังหวัดตรัง 92000,ตรวจรักษาโรคสุนัข ตรัง แมว ตรัง สัตว์เลี้ยง ตรัง ฉีดวัคซีนสุนัข-แมว ตรัง กำจัดเห็บหมัด ตรัง ศัลยกรรม ทำหมัน ตรัง รับฝากสัตว์เลี้ยง ตรัง ฝากเลี้ยงรายวัน ตรัง อาบน้ำสัตว์เลี้ยง ตรัง ตัดขน ตรัง ขูดหินปูน ตรัง แล็ป ตรัง เอ็กซ์เรย์ ตรังอัลตร้าซาวด์ ตรัง เพ็ทช๊อป ตรัง Pet Shop บริการนอกสถานที่,,https://www.yellowpages.co.th/profile/%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B8%9E%E0%B8%A2%E0%B8%B2%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B8%AA%E0%B8%B1%E0%B8%95%E0%B8%A7%E0%B9%8C%E0%B8%A8%E0%B8%A3%E0%B8%B5%E0%B8%95%E0%B8%A3%E0%B8%B1%E0%B8%87-93OPNBSir
คลีนิกกฤษฎา สัตวแพทย์,โรงพยาบาลและคลินิกสัตวแพทย์,ตำบลตลาด อำเภอเมืองมหาสารคาม จังหวัดมหาสารคาม 44000,"รักษาสัตว์เลี้ยง, ฉีดวัคซีน, ทำหมัน, คุมกำเนิด, ผ่าตัด, ปรึกษาปัญหาสุขภาพสัตว์เลี้ยง, จำหน่ายอาหารสัตว์, อุปกรณ์สัตวเลี้ยง",,https://www.yellowpages.co.th/profile/%E0%B8%84%E0%B8%A5%E0%B8%B5%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%81%E0%B8%A4%E0%B8%A9%E0%B8%8E%E0%B8%B2-%E0%B8%AA%E0%B8%B1%E0%B8%95%E0%B8%A7%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C-92zVuK2bt
คลินิกรักสัตว์,โรงพยาบาลและคลินิกสัตวแพทย์,ตำบลท่าพี่เลี้ยง อำเภอเมืองสุพรรณบุรี จังหวัดสุพรรณบุรี 72000,คลีนิครักษาสัตว์ ตรวจเลือด ปัสสาวะ ถ่ายเอกซเรย์คอมพิวเตอร์ อัลตราซาวด์ ขูดหินปูน พ่นยา และดมยาสลบ,,https://www.yellowpages.co.th/profile/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%A3%E0%B8%B1%E0%B8%81%E0%B8%AA%E0%B8%B1%E0%B8%95%E0%B8%A7%E0%B9%8C-8ki36Ww2B
กันเอง สัตวแพทย์,โรงพยาบาลและคลินิกสัตวแพทย์,ตำบลในเมือง อำเภอเมืองนครราชสีมา จังหวัดนครราชสีมา 30000,ยา อาหาร และอุปกรณ์สำหรับสัตว์เลี้ยง (เน้นที่สุนัขและแมว) มีบริการอาบน้ำ-ตัดขน ฝากเลี้ยง (สัตว์ตัวเล็ก),,https://www.yellowpages.co.th/profile/%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B9%80%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%B1%E0%B8%95%E0%B8%A7%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C-93Ox7Hakl
ต้นน้ำสัตวแพทย์,โรงพยาบาลและคลินิกสัตวแพทย์,ตำบลท่ายาง อำเภอท่ายาง จังหวัดเพชรบุรี 76130,รักษาสัตว์โดยสัตวแพทย์ปริญญา จำหน่ายยา อุปกรณ์ อาหารสัตว์เลี้ยง ฉีดวัคซีน ตรวจเลือด ผ่าตัดทั่วไป รักษาสัตว์โดยสัตวแพทย์ปริญญา ฉีดวัคซีน ตรวจเลือด ผ่าตัดทั่วไป จำหน่ายยาสัตว์ อุปกรณ์สัตว์ อาหารสัตว์เลี้ยง,,https://www.yellowpages.co.th/profile/%E0%B8%95%E0%B9%89%E0%B8%99%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%AA%E0%B8%B1%E0%B8%95%E0%B8%A7%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C-92OZrHRaM
สถาบันสอนอาบน้ำตัดแต่งขน เอส ซี  จี,โรงพยาบาลและคลินิกสัตวแพทย์,ตำบลหาดใหญ่ อำเภอหาดใหญ่ จังหวัดสงขลา 90110,- จำหน่าย เสื้อผ้าสัตว์เลี้ยง- อุปกรณ์สัตว์เลี้ยง อาหารสัตว์- กำจัดเห็บหมัด อาบน้ำ ตัดแต่งขน- บริการรักษาสัตว์ทุกสาขาขายยารักษาสัตว์- อาหารสัตว์ อุปกรณ์เลี้ยงสัตว์- บริการกำจัดเห็บ หมัด บนตัวสัตว์และที่อยู่อาศัย,,https://www.yellowpages.co.th/profile/%E0%B8%AA%E0%B8%96%E0%B8%B2%E0%B8%9A%E0%B8%B1%E0%B8%99%E0%B8%AA%E0%B8%AD%E0%B8%99%E0%B8%AD%E0%B8%B2%E0%B8%9A%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%95%E0%B8%B1%E0%B8%94%E0%B9%81%E0%B8%95%E0%B9%88%E0%B8%87%E0%B8%82%E0%B8%99-%E0%B9%80%E0%B8%AD%E0%B8%AA-%E0%B8%8B%E0%B8%B5-%E0%B8%88%E0%B8%B5-936ip5GLk
โรงพยาบาลสัตว์ภูเก็ต,โรงพยาบาลและคลินิกสัตวแพทย์,ตำบลวิชิต อำเภอเมืองภูเก็ต จังหวัดภูเก็ต 83000,โรงพยาบาลรักษาสัตว์ประจำภูเก็ต เราให้บริการรับฝากสัตว์เลี้ยง ทั้งรายวัน รายเดือน รับรักษาโรคทั่วไปของสัตว์เลี้ยงฉีดยาสัตว์เลี้ยง ผ่าตัดสัตว์เลี้ยง และผ่าตัดกระดูกสัตว์เลี้ยง ดูแล ใส่ใจ บริการกันเอง ราคาถูก รับรักษา โดย สัตวแพทย์ ผู้ชำนาญ มีประสบการ์ณรักษาสัตว์เลี้ยงมาหลายปีในภูเก็ต,,https://www.yellowpages.co.th/profile/%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B8%9E%E0%B8%A2%E0%B8%B2%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B8%AA%E0%B8%B1%E0%B8%95%E0%B8%A7%E0%B9%8C%E0%B8%A0%E0%B8%B9%E0%B9%80%E0%B8%81%E0%B9%87%E0%B8%95-92GMphjJZ
กรรณภักดี คลินิกรักษาสัตว์,โรงพยาบาลและคลินิกสัตวแพทย์,ตำบลบ้านเกาะ อำเภอเมืองนครราชสีมา จังหวัดนครราชสีมา 30000,"เคลินิกรักษาสัตว์ กรรณภักดี มีบริการรักษาสัตว์ทุกชนิด อาทิ สุนัข แมว นก กระต่าย และรับผ่าตัดทำหมัน ฉีดวัคซีน รับฝากเลี้ยง บริการทั้งในและนอกสถานที่โคราช และจังหวัดใกล้เคียง
เรายังมีบริการอาบน้ำ-ตัดขน และจำหน่ายอาหารสัตว์และอุปกรณ์สัตว์เลี้ยงทุกรูปแบบ",,https://www.yellowpages.co.th/profile/%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%93%E0%B8%A0%E0%B8%B1%E0%B8%81%E0%B8%94%E0%B8%B5-%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%A3%E0%B8%B1%E0%B8%81%E0%B8%A9%E0%B8%B2%E0%B8%AA%E0%B8%B1%E0%B8%95%E0%B8%A7%E0%B9%8C-93XtMYavT
